year,station,pollutant,avg_value,median_value,max_value,min_value,std_value,records_count
2023,Córdoba,PM10,27.5788,26.0208,77.5833,12.9583,9.4905,286
2023,La Boca,CO,0.3375,0.3225,1.0058,0.0604,0.1357,263
2023,La Boca,NO2,30.9469,30.6042,56.5,10.8182,8.1443,282
2023,La Boca,PM10,28.5552,25.9583,83.5833,9.9583,12.3985,357
2024,Centenario,CO,0.3877,0.3494,1.2058,0.1304,0.1647,302
2024,Centenario,NO2,12.4882,11.4167,27.7917,5.625,4.7962,73
2024,Centenario,PM10,20.8825,18.5,85.875,3.6667,10.4852,343
2024,Córdoba,CO,0.6459,0.6158,1.4638,0.1625,0.2378,243
2024,Córdoba,NO2,20.8423,20.1667,55.125,8.4583,6.8563,314
2024,Córdoba,PM10,24.4655,22.625,88.0417,7.0,9.4329,354
2024,La Boca,CO,0.461,0.4275,1.6167,0.0771,0.2213,345
2024,La Boca,NO2,29.8567,28.7292,65.7826,6.5,10.7449,360
2024,La Boca,PM10,24.0204,22.0833,85.0417,7.9167,10.0714,311
2025,Centenario,CO,0.4652,0.4182,1.5217,0.1687,0.1864,356
2025,Centenario,NO2,15.0879,14.7083,31.2083,4.875,4.9588,358
2025,Centenario,PM10,21.2756,19.375,99.0,7.4167,8.7757,349
2025,Córdoba,CO,0.5873,0.5604,1.9738,0.1121,0.2271,351
2025,Córdoba,NO2,18.8033,18.1667,38.7391,5.6667,6.2717,338
2025,Córdoba,PM10,24.1975,22.5416,135.5833,9.4167,10.1268,324
2025,La Boca,CO,0.2986,0.2867,0.6221,0.0704,0.1007,355
2025,La Boca,NO2,26.559,25.8333,56.9167,9.125,9.2416,355
2025,La Boca,PM10,23.507,21.25,116.4167,5.6667,11.0648,317
2026,Centenario,CO,0.3878,0.3692,0.845,0.1278,0.1391,141
2026,Centenario,NO2,11.9192,11.25,26.2917,4.1667,4.4746,140
2026,Centenario,PM10,21.1084,18.9166,39.9583,7.4444,7.8516,134
2026,Córdoba,CO,0.502,0.4673,1.2192,0.12,0.2051,142
2026,Córdoba,NO2,19.3104,18.6667,34.7917,7.6667,5.8352,142
2026,Córdoba,PM10,26.9772,25.2917,50.125,12.5417,8.6337,137
2026,La Boca,CO,0.2744,0.2588,0.6075,0.1546,0.0887,137
2026,La Boca,NO2,23.9517,22.3333,59.8333,7.3333,9.4863,137
2026,La Boca,PM10,27.8588,26.7083,67.3,5.0,11.697,129
