date,station,pollutant,actual_value,expected_value,difference,percentage_difference,z_score,method,severity,is_anomaly
2013-07-04,Córdoba,NO2,102.9167,21.5417,81.375,377.7557,6.5938,IQR + Isolation Forest,Extreme,True
2013-06-30,Córdoba,NO2,52.5833,21.5417,31.0416,144.1,2.3973,IQR + Isolation Forest,High,True
2013-06-28,Córdoba,NO2,50.4167,21.5417,28.875,134.0423,2.2166,IQR,Moderate,True
2013-06-27,Centenario,PM10,47.5,22.7848,24.7152,108.4728,1.6566,IQR,Moderate,True
2013-06-26,Centenario,PM10,74.7917,22.7848,52.007,228.2533,3.7101,IQR,Extreme,True
2013-06-26,Córdoba,NO2,61.4583,21.5417,39.9166,185.2992,3.1372,IQR + Isolation Forest,High,True
2013-06-26,Centenario,CO,1.3182,0.4821,0.8361,173.4287,0.9769,IQR,Moderate,True
2013-06-26,Córdoba,PM10,61.2917,23.9583,37.3334,155.8266,2.9037,IQR,Moderate,True
2013-06-25,Córdoba,NO2,90.9167,21.5417,69.375,322.0498,5.5933,IQR + Isolation Forest,Extreme,True
2013-06-21,Centenario,CO,1.1583,0.4821,0.6762,140.2614,0.7733,IQR,Moderate,True
2013-06-21,Centenario,PM10,53.5417,22.7848,30.757,134.9892,2.1112,IQR,Moderate,True
2013-06-20,Córdoba,NO2,60.25,21.5417,38.7083,179.6901,3.0365,IQR,High,True
2013-06-20,Centenario,CO,1.2042,0.4821,0.7221,149.7822,0.8317,IQR,Moderate,True
2013-06-20,Centenario,PM10,48.125,22.7848,25.3402,111.2158,1.7036,IQR,Moderate,True
2013-06-19,Córdoba,NO2,61.75,21.5417,40.2083,186.6533,3.1615,IQR + Isolation Forest,High,True
2013-06-17,Córdoba,NO2,77.4783,21.5417,55.9366,259.6666,4.4729,IQR + Isolation Forest,Extreme,True
2013-06-14,Córdoba,NO2,53.7917,21.5417,32.25,149.7096,2.498,IQR,Moderate,True
2013-06-13,Centenario,CO,1.0071,0.4821,0.525,108.8986,0.5807,IQR,Moderate,True
2013-06-12,Córdoba,NO2,48.375,21.5417,26.8333,124.5644,2.0464,IQR,Moderate,True
2013-06-12,Centenario,CO,1.0396,0.4821,0.5575,115.6399,0.6221,IQR,Moderate,True
2013-06-11,Centenario,CO,1.3967,0.4821,0.9146,189.7117,1.0769,IQR,Extreme,True
2013-06-11,Córdoba,NO2,61.15,21.5417,39.6083,183.868,3.1115,IQR + Isolation Forest,High,True
2013-06-11,Centenario,PM10,50.125,22.7848,27.3402,119.9936,1.8541,IQR,Moderate,True
2013-06-10,Córdoba,NO2,65.3333,21.5417,43.7916,203.2876,3.4603,IQR + Isolation Forest,High,True
2013-06-08,Córdoba,NO2,59.5417,21.5417,38.0,176.402,2.9774,IQR + Isolation Forest,High,True
2013-06-07,Córdoba,NO2,49.0417,21.5417,27.5,127.6594,2.102,IQR,Moderate,True
2013-06-06,Centenario,PM10,54.375,22.7848,31.5902,138.6465,2.1739,IQR,Moderate,True
2013-06-06,Córdoba,PM10,49.1667,23.9583,25.2084,105.2178,1.9047,IQR,Moderate,True
2013-06-05,Centenario,PM10,75.7083,22.7848,52.9235,232.2762,3.7791,IQR,Extreme,True
2013-06-05,Córdoba,PM10,64.1667,23.9583,40.2084,167.8266,3.1406,IQR,Extreme,True
2013-06-05,Centenario,CO,1.3483,0.4821,0.8662,179.6723,1.0153,IQR,Moderate,True
2013-06-05,Córdoba,NO2,59.5833,21.5417,38.0416,176.5952,2.9809,IQR,Moderate,True
2013-06-04,Córdoba,NO2,71.0,21.5417,49.4583,229.5933,3.9328,IQR + Isolation Forest,Extreme,True
2013-06-03,Córdoba,NO2,58.2083,21.5417,36.6666,170.2122,2.8662,IQR + Isolation Forest,High,True
2013-06-03,Centenario,PM10,48.2917,22.7848,25.507,111.9475,1.7162,IQR,Moderate,True
2013-06-02,Centenario,PM10,53.0417,22.7848,30.257,132.7947,2.0736,IQR,Moderate,True
2013-06-02,Córdoba,PM10,47.625,23.9583,23.6667,98.7829,1.7777,IQR,Moderate,True
2013-06-01,Córdoba,NO2,49.625,21.5417,28.0833,130.3671,2.1506,IQR,Moderate,True
2013-05-28,Córdoba,NO2,65.875,21.5417,44.3333,205.8022,3.5055,IQR + Isolation Forest,High,True
2013-05-27,Córdoba,NO2,48.7083,21.5417,27.1666,126.1117,2.0742,IQR + Isolation Forest,High,True
2013-05-27,Centenario,CO,1.0471,0.4821,0.565,117.1956,0.6316,IQR,Moderate,True
2013-05-24,Córdoba,NO2,63.4167,21.5417,41.875,194.3904,3.3005,IQR + Isolation Forest,High,True
2013-05-23,Córdoba,NO2,52.875,21.5417,31.3333,145.4542,2.4216,IQR,Moderate,True
2013-05-22,Córdoba,NO2,84.1667,21.5417,62.625,290.7152,5.0305,IQR + Isolation Forest,Extreme,True
2013-05-22,Centenario,PM10,48.5833,22.7848,25.7986,113.2273,1.7381,IQR,Moderate,True
2013-05-22,Centenario,CO,1.0044,0.4821,0.5223,108.3385,0.5772,IQR,Moderate,True
2013-05-22,Córdoba,PM10,47.0833,23.9583,23.125,96.5219,1.733,IQR,Moderate,True
2013-05-21,Córdoba,NO2,80.8182,21.5417,59.2765,275.1709,4.7513,IQR + Isolation Forest,Extreme,True
2013-05-20,Córdoba,NO2,57.5417,21.5417,36.0,167.1177,2.8107,IQR,Moderate,True
2013-05-17,La Boca,NO2,52.6667,19.3333,33.3334,172.4144,3.1018,IQR,High,True
2013-05-14,Córdoba,NO2,53.875,21.5417,32.3333,150.0963,2.505,IQR,Moderate,True
2013-05-13,Córdoba,NO2,51.875,21.5417,30.3333,140.812,2.3382,IQR,Moderate,True
2013-05-12,Córdoba,NO2,50.2917,21.5417,28.75,133.4621,2.2062,IQR,Moderate,True
2013-05-12,Centenario,PM10,52.0417,22.7848,29.257,128.4058,1.9983,IQR,Moderate,True
2013-05-12,Centenario,CO,1.0296,0.4821,0.5475,113.5657,0.6093,IQR,Moderate,True
2013-05-11,Córdoba,NO2,51.6667,21.5417,30.125,139.845,2.3208,IQR,Moderate,True
2013-05-11,Centenario,CO,1.0025,0.4821,0.5204,107.9444,0.5748,IQR,Moderate,True
2013-04-20,Centenario,CO,1.0454,0.4821,0.5633,116.843,0.6295,IQR,Moderate,True
2013-04-19,Centenario,CO,1.1317,0.4821,0.6496,134.7438,0.7394,IQR,Moderate,True
2013-04-19,Centenario,NO2,32.7273,17.4167,15.3106,87.9076,2.1027,Isolation Forest,Moderate,True
2013-04-03,Centenario,CO,1.056,0.4821,0.5739,119.0417,0.643,IQR,Moderate,True
2013-03-27,Centenario,NO2,34.381,17.4167,16.9643,97.4025,2.3418,Isolation Forest,Moderate,True
2013-03-26,Centenario,NO2,47.6957,17.4167,30.279,173.8504,4.2669,IQR + Isolation Forest,High,True
2013-03-25,Centenario,NO2,64.9,17.4167,47.4833,272.6309,6.7543,IQR + Isolation Forest,Extreme,True
2013-03-23,Centenario,NO2,77.8333,17.4167,60.4166,346.8889,8.6242,IQR + Isolation Forest,Extreme,True
2013-03-23,Centenario,CO,1.3387,0.4821,0.8566,177.681,1.003,IQR,Moderate,True
2013-03-22,Centenario,NO2,61.9412,17.4167,44.5245,255.6426,6.3265,IQR + Isolation Forest,Extreme,True
2013-03-16,Centenario,NO2,33.75,17.4167,16.3333,93.7795,2.2505,Isolation Forest,Moderate,True
2013-03-15,Centenario,NO2,40.0417,17.4167,22.625,129.9041,3.1602,IQR + Isolation Forest,High,True
2013-03-14,Centenario,NO2,36.3913,17.4167,18.9746,108.9449,2.6324,IQR,Moderate,True
2013-03-13,Centenario,NO2,35.8333,17.4167,18.4166,105.741,2.5518,IQR,Moderate,True
2013-03-11,Centenario,NO2,49.5417,17.4167,32.125,184.4494,4.5338,IQR + Isolation Forest,Extreme,True
2013-03-08,Centenario,PM10,68.75,22.7848,45.9652,201.7369,3.2555,IQR + Isolation Forest,Extreme,True
2013-03-07,Centenario,PM10,54.625,22.7848,31.8402,139.7437,2.1927,IQR,Moderate,True
2013-03-06,Centenario,NO2,37.0,17.4167,19.5833,112.4398,2.7204,IQR,Moderate,True
2013-03-06,Centenario,PM10,47.75,22.7848,24.9652,109.57,1.6754,IQR,Moderate,True
2013-03-05,Centenario,PM10,52.25,22.7848,29.4652,129.32,2.014,IQR,Moderate,True
2013-03-01,Centenario,PM10,54.9167,22.7848,32.132,141.0239,2.2146,IQR,Moderate,True
2013-02-28,Centenario,PM10,58.7083,22.7848,35.9236,157.6649,2.4999,IQR,Moderate,True
2013-02-27,Centenario,PM10,74.5,22.7848,51.7152,226.9731,3.6881,IQR,Extreme,True
2013-02-27,Centenario,NO2,35.9167,17.4167,18.5,106.2199,2.5638,IQR,Moderate,True
2013-02-18,La Boca,PM10,65.8333,25.0417,40.7916,162.8947,2.6503,IQR,Moderate,True
