date,year,month,station,pollutant,daily_avg,daily_min,daily_max,daily_median,daily_std,records_count
2009-11-22,2009,11,Palermo,CO,0.8354,0.51,1.16,0.83,0.2351,24
2009-11-23,2009,11,Centenario,CO,0.6892,0.48,0.88,0.7,0.1312,24
2009-11-23,2009,11,Centenario,NO2,14.875,8.0,28.0,13.0,6.2437,24
2009-11-23,2009,11,Córdoba,NO2,23.125,13.0,32.0,24.0,5.5819,24
2009-11-23,2009,11,La Boca,NO2,19.0833,9.0,32.0,18.0,5.571,24
2009-11-23,2009,11,Palermo,CO,0.8254,0.48,1.03,0.915,0.1803,24
2009-11-24,2009,11,Centenario,CO,0.6762,0.44,0.9,0.705,0.1363,24
2009-11-24,2009,11,Centenario,NO2,16.0,7.0,25.0,17.0,5.3125,19
2009-11-24,2009,11,Córdoba,NO2,31.2917,13.0,78.0,28.5,12.3376,24
2009-11-24,2009,11,La Boca,NO2,22.0833,8.0,36.0,20.5,6.9088,24
2009-11-24,2009,11,Palermo,CO,0.7821,0.4,1.13,0.825,0.2487,24
2009-11-25,2009,11,Centenario,CO,0.8746,0.63,1.03,0.91,0.1201,24
2009-11-25,2009,11,Centenario,NO2,17.0833,7.0,23.0,18.0,4.2418,24
2009-11-25,2009,11,Córdoba,NO2,20.875,11.0,31.0,21.0,6.2088,24
2009-11-25,2009,11,La Boca,NO2,21.0833,10.0,32.0,20.5,5.6562,24
2009-11-25,2009,11,Palermo,CO,0.85,0.68,1.28,0.735,0.2183,24
2009-11-26,2009,11,Centenario,CO,0.7825,0.56,0.9,0.84,0.1169,24
2009-11-26,2009,11,Centenario,NO2,32.0417,12.0,155.0,31.0,27.6004,24
2009-11-26,2009,11,Córdoba,NO2,24.0,11.0,41.0,25.0,10.1817,19
2009-11-26,2009,11,La Boca,NO2,22.375,10.0,36.0,22.5,6.8513,24
2009-11-26,2009,11,Palermo,CO,0.8054,0.39,1.19,0.77,0.2931,24
2009-11-27,2009,11,Centenario,CO,0.8621,0.59,1.09,0.87,0.1794,24
2009-11-27,2009,11,Centenario,NO2,25.0833,9.0,33.0,26.5,6.3719,24
2009-11-27,2009,11,Córdoba,NO2,21.6842,12.0,28.0,23.0,5.5081,19
2009-11-27,2009,11,La Boca,NO2,26.4,10.0,42.0,27.5,8.852,20
2009-11-27,2009,11,Palermo,CO,1.1087,0.63,1.58,1.1,0.3308,24
2009-11-28,2009,11,Centenario,CO,0.8038,0.73,0.96,0.77,0.0688,24
2009-11-28,2009,11,Centenario,NO2,18.8333,12.0,31.0,18.0,4.3904,24
2009-11-28,2009,11,Córdoba,NO2,21.5,17.0,26.0,22.0,2.3774,24
2009-11-28,2009,11,La Boca,NO2,18.9167,13.0,27.0,17.5,3.9444,24
2009-11-28,2009,11,Palermo,CO,0.8475,0.68,1.33,0.735,0.2054,24
2009-11-29,2009,11,Centenario,CO,0.8996,0.69,1.1,0.885,0.1307,24
2009-11-29,2009,11,Centenario,NO2,18.6667,7.0,80.0,16.5,14.0455,24
2009-11-29,2009,11,Córdoba,NO2,21.0833,13.0,38.0,20.5,6.46,24
