year,month,station,pollutant,avg_value,median_value,max_value,min_value,std_value,records_count
2013,5,Córdoba,CO,0.5399,0.5979,1.0079,0.1557,0.2699,21
2013,5,Córdoba,NO2,46.7884,48.2632,84.1667,21.1667,17.3337,22
2013,5,Córdoba,PM10,25.1573,24.7917,47.0833,13.5417,7.4082,31
2013,5,La Boca,CO,0.1907,0.1517,0.4962,0.066,0.1101,21
2013,5,La Boca,NO2,22.8396,21.5833,52.6667,8.2917,9.3781,21
2013,5,La Boca,PM10,26.2579,25.25,42.0833,12.0833,9.2613,21
2013,6,Centenario,CO,0.8025,0.7238,1.3967,0.3371,0.2775,30
2013,6,Centenario,NO2,23.4204,24.1042,29.9583,16.875,3.4817,30
2013,6,Centenario,PM10,39.7097,35.0417,75.7083,23.7083,13.6562,30
2013,6,Córdoba,NO2,49.8722,49.3333,90.9167,19.1667,15.7705,30
2013,6,Córdoba,PM10,33.7403,31.5417,64.1667,18.9167,11.2425,30
2013,7,Centenario,CO,0.8561,0.7775,2.9192,0.4946,0.4205,31
2013,7,Centenario,NO2,20.4345,18.6326,30.5833,13.3333,5.1922,26
2013,7,Centenario,PM10,30.8273,25.8625,85.0,13.7917,14.1338,30
2013,7,Córdoba,NO2,71.0932,77.5417,102.9167,28.0833,24.265,19
2013,7,Córdoba,PM10,25.8134,25.0833,42.875,15.4167,7.7209,19
2013,7,La Boca,CO,0.1644,0.1644,0.2506,0.0783,0.1218,2
2013,7,La Boca,NO2,17.743,17.743,19.1111,16.375,1.9347,2
2013,7,La Boca,PM10,36.0,36.0,36.1667,35.8333,0.2357,2
2013,8,Centenario,CO,0.6924,0.7038,1.1944,0.3525,0.1991,31
2013,8,Centenario,PM10,38.1586,36.9583,83.4167,18.0417,12.5065,31
2013,8,La Boca,CO,0.1821,0.17,0.4317,0.065,0.0891,29
2013,8,La Boca,NO2,12.1593,11.7916,24.5833,3.4545,5.67,30
2013,8,La Boca,PM10,33.5108,33.625,74.875,14.0833,11.9193,31
2013,9,Centenario,CO,0.5907,0.6033,0.9954,0.1481,0.228,23
2013,9,Centenario,PM10,25.5789,22.3,55.8333,8.4167,10.9078,21
2013,9,La Boca,CO,0.1389,0.1062,0.4162,0.0522,0.0943,25
2013,9,La Boca,NO2,13.9497,12.5,23.7083,6.5,4.7008,30
2013,9,La Boca,PM10,23.4597,19.9584,44.9167,7.75,10.0865,30
2013,10,Centenario,CO,0.425,0.3911,1.0121,0.2204,0.1604,29
